Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-v0.3,A100-PCI,7,Energy,0.434368
Local,Mistral-7B-v0.3,A100-PCI,8,Energy,0.432317
Local,Mistral-7B-v0.3,A100-PCI,9,Energy,0.430387
Local,Mistral-7B-v0.3,A100-PCI,10,Energy,0.430597
Local,Mistral-7B-v0.3,A100-PCI,1,Time,01:06:45
Local,Mistral-7B-v0.3,A100-PCI,2,Time,01:06:08
Local,Mistral-7B-v0.3,A100-PCI,3,Time,01:06:27
Local,Mistral-7B-v0.3,A100-PCI,4,Time,01:06:17
Local,Mistral-7B-v0.3,A100-PCI,5,Time,01:05:57
Local,Mistral-7B-v0.3,A100-PCI,6,Time,01:06:06
Local,Mistral-7B-v0.3,A100-PCI,7,Time,01:06:39
Local,Mistral-7B-v0.3,A100-PCI,8,Time,01:06:27
Local,Mistral-7B-v0.3,A100-PCI,9,Time,01:06:14
Local,Mistral-7B-v0.3,A100-PCI,10,Time,01:06:11
Local,Mistral-7B-v0.3,H100,1,CO2eq,142.594641
Local,Mistral-7B-v0.3,H100,2,CO2eq,143.614241
Local,Mistral-7B-v0.3,H100,3,CO2eq,143.960888
Local,Mistral-7B-v0.3,H100,4,CO2eq,143.308573
Local,Mistral-7B-v0.3,H100,5,CO2eq,145.016779
Local,Mistral-7B-v0.3,H100,6,CO2eq,137.602166
Local,Mistral-7B-v0.3,H100,7,CO2eq,143.401255
Local,Mistral-7B-v0.3,H100,8,CO2eq,142.345475
Local,Mistral-7B-v0.3,H100,9,CO2eq,138.529597
Local,Mistral-7B-v0.3,H100,10,CO2eq,143.321284
Local,Mistral-7B-v0.3,H100,1,Distance,1.326462
Local,Mistral-7B-v0.3,H100,2,Distance,1.335946
Local,Mistral-7B-v0.3,H100,3,Distance,1.339171
Local,Mistral-7B-v0.3,H100,4,Distance,1.333103
Local,Mistral-7B-v0.3,H100,5,Distance,1.348993
Local,Mistral-7B-v0.3,H100,6,Distance,1.28002
Local,Mistral-7B-v0.3,H100,7,Distance,1.333965
